,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
27,03-Jun-17,10:08:34,1,1,0,1,I
28,03-Jun-17,10:08:34,1,1,0,1,I
29,03-Jun-17,10:08:34,1,1,0,1,I
30,03-Jun-17,10:08:34,1,1,0,1,I
31,03-Jun-17,10:08:34,1,1,0,1,I
32,03-Jun-17,10:08:34,1,1,0,1,I
33,03-Jun-17,10:08:34,1,1,0,1,I
34,03-Jun-17,10:08:35,1,1,0,1,I
35,03-Jun-17,10:08:35,1,1,0,1,I
36,03-Jun-17,10:08:35,1,1,0,1,I
37,03-Jun-17,10:08:35,1,1,0,1,I
38,03-Jun-17,10:08:35,1,1,0,1,I
39,03-Jun-17,10:08:36,1,1,0,1,I
40,03-Jun-17,10:08:36,1,1,0,1,I
41,03-Jun-17,10:08:36,1,1,0,1,I
42,03-Jun-17,10:08:36,1,1,0,1,I
43,03-Jun-17,10:08:37,1,1,0,1,I
44,03-Jun-17,10:08:37,1,1,0,1,I
45,03-Jun-17,10:08:37,1,1,0,1,I
46,03-Jun-17,10:08:37,1,1,0,1,I
47,03-Jun-17,10:08:37,1,1,0,1,I
48,03-Jun-17,10:08:37,1,1,0,1,I
49,03-Jun-17,10:08:38,1,1,0,1,I
50,03-Jun-17,10:08:38,1,1,0,1,I
51,03-Jun-17,10:08:38,1,1,0,1,I
52,03-Jun-17,10:08:38,1,1,0,1,I
53,03-Jun-17,10:08:39,1,1,0,1,I
54,03-Jun-17,10:08:39,1,1,0,1,I
55,03-Jun-17,10:08:39,1,1,0,1,I
56,03-Jun-17,10:08:39,1,1,0,1,I
57,03-Jun-17,10:08:39,1,1,0,1,I
58,03-Jun-17,10:08:40,1,1,0,1,I
59,03-Jun-17,10:08:40,1,1,0,1,I
60,03-Jun-17,10:08:40,1,1,0,1,I
61,03-Jun-17,10:08:40,1,1,0,1,I
62,03-Jun-17,10:08:40,1,1,0,1,I
63,03-Jun-17,10:08:40,1,1,0,1,I
64,03-Jun-17,10:08:41,1,1,0,1,I
65,03-Jun-17,10:08:41,1,1,0,1,I
66,03-Jun-17,10:08:41,1,1,0,1,I
67,03-Jun-17,10:08:41,1,1,0,1,I
68,03-Jun-17,10:08:42,1,1,0,1,I
69,03-Jun-17,10:08:42,1,1,0,1,I
70,03-Jun-17,10:08:42,1,1,0,1,I
71,03-Jun-17,10:08:42,1,1,0,1,I
72,03-Jun-17,10:08:42,1,1,0,1,I
73,03-Jun-17,10:08:42,1,1,0,1,I
74,03-Jun-17,10:08:43,1,1,0,1,I
75,03-Jun-17,10:08:43,1,1,0,1,I
76,03-Jun-17,10:08:43,1,1,0,1,I
77,03-Jun-17,10:08:43,1,1,0,1,I
78,03-Jun-17,10:08:44,1,1,0,1,I
79,03-Jun-17,10:08:44,1,1,0,1,I
80,03-Jun-17,10:08:44,1,1,0,1,I
81,03-Jun-17,10:08:44,1,1,0,1,I
82,03-Jun-17,10:08:44,1,1,0,1,I
83,03-Jun-17,10:08:45,1,1,0,1,I
84,03-Jun-17,10:08:45,1,1,0,1,I
85,03-Jun-17,10:08:45,1,1,0,1,I
86,03-Jun-17,10:08:45,1,1,0,1,I
87,03-Jun-17,10:08:45,1,1,0,1,I
88,03-Jun-17,10:08:45,1,1,0,1,I
89,03-Jun-17,10:08:46,1,1,0,1,I
90,03-Jun-17,10:08:46,1,1,0,1,I
91,03-Jun-17,10:08:46,1,1,0,1,I
92,03-Jun-17,10:08:46,1,1,0,1,I
93,03-Jun-17,10:08:47,1,1,0,1,I
94,03-Jun-17,10:08:47,1,1,0,1,I
95,03-Jun-17,10:08:47,1,1,0,1,I
96,03-Jun-17,10:08:47,1,1,0,1,I
97,03-Jun-17,10:08:47,1,1,0,1,I
98,03-Jun-17,10:08:48,1,1,0,1,I
99,03-Jun-17,10:08:48,1,1,0,1,I
100,03-Jun-17,10:08:48,1,1,0,1,I
101,03-Jun-17,10:08:48,1,1,0,1,I
102,03-Jun-17,10:08:48,1,1,0,1,I
103,03-Jun-17,10:08:48,1,1,0,1,I
104,03-Jun-17,10:08:49,1,1,0,1,I
105,03-Jun-17,10:08:49,1,1,0,1,I
106,03-Jun-17,10:08:49,1,1,0,1,I
107,03-Jun-17,10:08:49,1,1,0,1,I
108,03-Jun-17,10:08:50,1,1,0,1,I
109,03-Jun-17,10:08:50,1,1,0,1,I
110,03-Jun-17,10:08:50,1,1,0,1,I
111,03-Jun-17,10:08:50,1,1,0,1,I
112,03-Jun-17,10:08:50,1,1,0,1,I
113,03-Jun-17,10:08:50,1,1,0,1,I
114,03-Jun-17,10:08:51,1,1,0,1,I
115,03-Jun-17,10:08:51,1,1,0,1,I
116,03-Jun-17,10:08:51,1,1,0,1,I
117,03-Jun-17,10:08:51,1,1,0,1,I
118,03-Jun-17,10:08:51,1,1,0,1,I
119,03-Jun-17,10:08:52,1,1,0,1,I
120,03-Jun-17,10:08:52,1,1,0,1,I
121,03-Jun-17,10:08:52,1,1,0,1,I
122,03-Jun-17,10:08:52,1,1,0,1,I
123,03-Jun-17,10:08:53,1,1,0,1,I
124,03-Jun-17,10:08:53,1,1,0,1,I
125,03-Jun-17,10:08:53,1,1,0,1,I
126,03-Jun-17,10:08:53,1,1,0,1,I
127,03-Jun-17,10:08:53,1,1,0,1,I
128,03-Jun-17,10:08:54,1,1,0,1,I
129,03-Jun-17,10:08:54,1,1,0,1,I
130,03-Jun-17,10:08:54,1,1,0,1,I
131,03-Jun-17,10:08:54,1,1,0,1,I
132,03-Jun-17,10:08:55,1,1,0,1,I
133,03-Jun-17,10:08:55,1,1,0,1,I
134,03-Jun-17,10:08:55,1,1,0,1,I
135,03-Jun-17,10:08:55,1,1,0,1,I
136,03-Jun-17,10:08:55,1,1,0,1,I
137,03-Jun-17,10:08:55,1,1,0,1,I
138,03-Jun-17,10:08:55,1,1,0,1,I
139,03-Jun-17,10:08:56,1,1,0,1,I
140,03-Jun-17,10:08:56,1,1,0,1,I
141,03-Jun-17,10:08:56,1,1,0,1,I
142,03-Jun-17,10:08:56,1,1,0,1,I
143,03-Jun-17,10:08:57,1,1,0,1,I
144,03-Jun-17,10:08:57,1,1,0,1,I
145,03-Jun-17,10:08:57,1,1,0,1,I
146,03-Jun-17,10:08:57,1,1,0,1,I
147,03-Jun-17,10:08:57,1,1,0,1,I
148,03-Jun-17,10:08:58,1,1,0,1,I
149,03-Jun-17,10:08:58,1,1,0,1,I
150,03-Jun-17,10:08:58,1,1,0,1,I
151,03-Jun-17,10:08:58,1,1,0,1,I
152,03-Jun-17,10:08:59,1,1,0,1,I
153,03-Jun-17,10:08:59,1,1,0,1,I
154,03-Jun-17,10:08:59,1,1,0,1,I
155,03-Jun-17,10:08:59,1,1,0,1,I
156,03-Jun-17,10:08:59,1,1,0,1,I
157,03-Jun-17,10:08:59,1,1,0,1,I
158,03-Jun-17,10:08:59,1,1,0,1,I
159,03-Jun-17,10:09:00,1,1,0,1,I
160,03-Jun-17,10:09:00,1,1,0,1,I
161,03-Jun-17,10:09:00,1,1,0,1,I
162,03-Jun-17,10:09:00,1,1,0,1,I
163,03-Jun-17,10:09:01,1,1,0,1,I
164,03-Jun-17,10:09:01,1,1,0,1,I
165,03-Jun-17,10:09:01,1,1,0,1,I
166,03-Jun-17,10:09:01,1,1,0,1,I
167,03-Jun-17,10:09:01,1,1,0,1,I
168,03-Jun-17,10:09:02,1,1,0,1,I
169,03-Jun-17,10:09:02,1,1,0,1,I
170,03-Jun-17,10:09:02,1,1,0,1,I
171,03-Jun-17,10:09:02,1,1,0,1,I
172,03-Jun-17,10:09:03,1,1,0,1,I
173,03-Jun-17,10:09:03,1,1,0,1,I
174,03-Jun-17,10:09:03,1,1,0,1,I
175,03-Jun-17,10:09:03,1,1,0,1,I
176,03-Jun-17,10:09:03,1,1,0,1,I
177,03-Jun-17,10:09:03,1,1,0,1,I
178,03-Jun-17,10:09:03,1,1,0,1,I
179,03-Jun-17,10:09:04,1,1,0,1,I
180,03-Jun-17,10:09:04,1,1,0,1,I
181,03-Jun-17,10:09:04,1,1,0,1,I
182,03-Jun-17,10:09:04,1,1,0,1,I
183,03-Jun-17,10:09:04,1,1,0,1,I
184,03-Jun-17,10:09:05,1,1,0,1,I
185,03-Jun-17,10:09:05,1,1,0,1,I
186,03-Jun-17,10:09:05,1,1,0,1,I
187,03-Jun-17,10:09:05,1,1,0,1,I
188,03-Jun-17,10:09:06,1,1,0,1,I
189,03-Jun-17,10:09:06,1,1,0,1,I
190,03-Jun-17,10:09:06,1,1,0,1,I
191,03-Jun-17,10:09:06,1,1,0,1,I
192,03-Jun-17,10:09:06,1,1,0,1,I
193,03-Jun-17,10:09:06,1,1,0,1,I
194,03-Jun-17,10:09:07,1,1,0,1,I
195,03-Jun-17,10:09:07,1,1,0,1,I
196,03-Jun-17,10:09:07,1,1,0,1,I
197,03-Jun-17,10:09:07,1,1,0,1,I
198,03-Jun-17,10:09:08,1,1,0,1,I
199,03-Jun-17,10:09:08,1,1,0,1,I
200,03-Jun-17,10:09:08,1,1,0,1,I
201,03-Jun-17,10:09:08,1,1,0,1,I
202,03-Jun-17,10:09:08,1,1,0,1,I
203,03-Jun-17,10:09:09,1,1,0,1,I
204,03-Jun-17,10:09:09,1,1,0,1,I
205,03-Jun-17,10:09:09,1,1,0,1,I
206,03-Jun-17,10:09:09,1,1,0,1,I
207,03-Jun-17,10:09:09,1,1,0,1,I
208,03-Jun-17,10:09:09,1,1,0,1,I
209,03-Jun-17,10:09:10,1,1,0,1,I
210,03-Jun-17,10:09:10,1,1,0,1,I
211,03-Jun-17,10:09:10,1,1,0,1,I
212,03-Jun-17,10:09:10,1,1,0,1,I
213,03-Jun-17,10:09:10,1,1,0,1,I
214,03-Jun-17,10:09:11,1,1,0,1,I
215,03-Jun-17,10:09:11,1,1,0,1,I
216,03-Jun-17,10:09:11,1,1,0,1,I
217,03-Jun-17,10:09:11,1,1,0,1,I
218,03-Jun-17,10:09:12,1,1,0,1,I
219,03-Jun-17,10:09:12,1,1,0,1,I
220,03-Jun-17,10:09:12,1,1,0,1,I
221,03-Jun-17,10:09:12,1,1,0,1,I
222,03-Jun-17,10:09:12,1,1,0,1,I
223,03-Jun-17,10:09:13,1,1,0,1,I
224,03-Jun-17,10:09:13,1,1,0,1,I
225,03-Jun-17,10:09:13,1,1,0,1,I
226,03-Jun-17,10:09:13,1,1,0,1,I
227,03-Jun-17,10:09:13,1,1,0,1,I
228,03-Jun-17,10:09:13,1,1,0,1,I
229,03-Jun-17,10:09:14,1,1,0,1,I
230,03-Jun-17,10:09:14,1,1,0,1,I
231,03-Jun-17,10:09:14,1,1,0,1,I
232,03-Jun-17,10:09:14,1,1,0,1,I
233,03-Jun-17,10:09:15,1,1,0,1,I
234,03-Jun-17,10:09:15,1,1,0,1,I
235,03-Jun-17,10:09:15,1,1,0,1,I
236,03-Jun-17,10:09:15,1,1,0,1,I
237,03-Jun-17,10:09:15,1,1,0,1,I
238,03-Jun-17,10:09:16,1,1,0,1,I
239,03-Jun-17,10:09:16,1,1,0,1,I
240,03-Jun-17,10:09:16,1,1,0,1,I
241,03-Jun-17,10:09:16,1,1,0,1,I
242,03-Jun-17,10:09:17,1,1,0,1,I
243,03-Jun-17,10:09:17,1,1,0,1,I
244,03-Jun-17,10:09:17,1,1,0,1,I
245,03-Jun-17,10:09:17,1,1,0,1,I
246,03-Jun-17,10:09:17,1,1,0,1,I
247,03-Jun-17,10:09:17,1,1,0,1,I
248,03-Jun-17,10:09:17,1,1,0,1,I
249,03-Jun-17,10:09:18,1,1,0,1,I
250,03-Jun-17,10:09:18,1,1,0,1,I
251,03-Jun-17,10:09:18,1,1,0,1,I
252,03-Jun-17,10:09:18,1,1,0,1,I
253,03-Jun-17,10:09:19,1,1,0,1,I
254,03-Jun-17,10:09:19,1,1,0,1,I
255,03-Jun-17,10:09:19,1,1,0,1,I
256,03-Jun-17,10:09:19,1,1,0,1,I
257,03-Jun-17,10:09:19,1,1,0,1,I
258,03-Jun-17,10:09:20,1,1,0,1,I
259,03-Jun-17,10:09:20,1,1,0,1,I
260,03-Jun-17,10:09:20,1,1,0,1,I
261,03-Jun-17,10:09:20,1,1,0,1,I
262,03-Jun-17,10:09:21,1,1,0,1,I
263,03-Jun-17,10:09:21,1,1,0,1,I
264,03-Jun-17,10:09:21,1,1,0,1,I
265,03-Jun-17,10:09:21,1,1,0,1,I
266,03-Jun-17,10:09:21,1,1,0,1,I
267,03-Jun-17,10:09:21,1,1,0,1,I
268,03-Jun-17,10:09:21,1,1,0,1,I
269,03-Jun-17,10:09:22,1,1,0,1,I
270,03-Jun-17,10:09:22,1,1,0,1,I
271,03-Jun-17,10:09:22,1,1,0,1,I
272,03-Jun-17,10:09:22,1,1,0,1,I
273,03-Jun-17,10:09:22,1,1,0,1,I
274,03-Jun-17,10:09:23,1,1,0,1,I
275,03-Jun-17,10:09:23,1,1,0,1,I
276,03-Jun-17,10:09:23,1,1,0,1,I
277,03-Jun-17,10:09:23,1,1,0,1,I
278,03-Jun-17,10:09:24,1,1,0,1,I
279,03-Jun-17,10:09:24,1,1,0,1,I
280,03-Jun-17,10:09:24,1,1,0,1,I
281,03-Jun-17,10:09:24,1,1,0,1,I
282,03-Jun-17,10:09:25,1,1,0,1,I
283,03-Jun-17,10:09:25,1,1,0,1,I
284,03-Jun-17,10:09:25,1,1,0,1,I
285,03-Jun-17,10:09:25,1,1,0,1,I
286,03-Jun-17,10:09:25,1,1,0,1,I
287,03-Jun-17,10:09:25,1,1,0,1,I
288,03-Jun-17,10:09:25,1,1,0,1,I
289,03-Jun-17,10:09:26,1,1,0,1,I
290,03-Jun-17,10:09:26,1,1,0,1,I
291,03-Jun-17,10:09:26,1,1,0,1,I
292,03-Jun-17,10:09:26,1,1,0,1,I
293,03-Jun-17,10:09:27,1,1,0,1,I
294,03-Jun-17,10:09:27,1,1,0,1,I
295,03-Jun-17,10:09:27,1,1,0,1,I
296,03-Jun-17,10:09:27,1,1,0,1,I
297,03-Jun-17,10:09:28,1,1,0,1,I
298,03-Jun-17,10:09:28,1,1,0,1,I
299,03-Jun-17,10:09:28,1,1,0,1,I
300,03-Jun-17,10:09:28,1,1,0,1,I
301,03-Jun-17,10:09:28,1,1,0,1,I
302,03-Jun-17,10:09:28,1,1,0,1,I
303,03-Jun-17,10:09:28,1,1,0,1,I
304,03-Jun-17,10:09:29,1,1,0,1,I
305,03-Jun-17,10:09:29,1,1,0,1,I
306,03-Jun-17,10:09:29,1,1,0,1,I
307,03-Jun-17,10:09:29,1,1,0,1,I
308,03-Jun-17,10:09:30,1,1,0,1,I
309,03-Jun-17,10:09:30,1,1,0,1,I
310,03-Jun-17,10:09:30,1,1,0,1,I
311,03-Jun-17,10:09:30,1,1,0,1,I
312,03-Jun-17,10:09:30,1,1,0,1,I
313,03-Jun-17,10:09:31,1,1,0,1,I
314,03-Jun-17,10:09:31,1,1,0,1,I
315,03-Jun-17,10:09:31,1,1,0,1,I
316,03-Jun-17,10:09:31,1,1,0,1,I
317,03-Jun-17,10:09:31,1,1,0,1,I
318,03-Jun-17,10:09:31,1,1,0,1,I
319,03-Jun-17,10:09:32,1,1,0,1,I
320,03-Jun-17,10:09:32,1,1,0,1,I
321,03-Jun-17,10:09:32,1,1,0,1,I
322,03-Jun-17,10:09:32,1,1,0,1,I
323,03-Jun-17,10:09:32,1,1,0,1,I
324,03-Jun-17,10:09:33,1,1,0,1,I
325,03-Jun-17,10:09:33,1,1,0,1,I
326,03-Jun-17,10:09:33,1,1,0,1,I
327,03-Jun-17,10:09:33,1,1,0,1,I
328,03-Jun-17,10:09:34,1,1,0,1,I
329,03-Jun-17,10:09:34,1,1,0,1,I
330,03-Jun-17,10:09:34,1,1,0,1,I
331,03-Jun-17,10:09:34,1,1,0,1,I
332,03-Jun-17,10:09:34,1,1,0,1,I
333,03-Jun-17,10:09:34,1,1,0,1,I
334,03-Jun-17,10:09:35,1,1,0,1,I
335,03-Jun-17,10:09:35,1,1,0,1,I
336,03-Jun-17,10:09:35,1,1,0,1,I
337,03-Jun-17,10:09:35,1,1,0,1,I
338,03-Jun-17,10:09:36,1,1,0,1,I
339,03-Jun-17,10:09:36,1,1,0,1,I
340,03-Jun-17,10:09:36,1,1,0,1,I
341,03-Jun-17,10:09:36,1,1,0,1,I
342,03-Jun-17,10:09:36,1,1,0,1,I
343,03-Jun-17,10:09:37,1,1,0,1,I
344,03-Jun-17,10:09:37,1,1,0,1,I
345,03-Jun-17,10:09:37,1,1,0,1,I
346,03-Jun-17,10:09:37,1,1,0,1,I
347,03-Jun-17,10:09:37,1,1,0,1,I
348,03-Jun-17,10:09:37,1,1,0,1,I
349,03-Jun-17,10:09:38,1,1,0,1,I
350,03-Jun-17,10:09:38,1,1,0,1,I
351,03-Jun-17,10:09:38,1,1,0,1,I
352,03-Jun-17,10:09:38,1,1,0,1,I
353,03-Jun-17,10:09:39,1,1,0,1,I
354,03-Jun-17,10:09:39,1,1,0,1,I
355,03-Jun-17,10:09:39,1,1,0,1,I
356,03-Jun-17,10:09:39,1,1,0,1,I
357,03-Jun-17,10:09:39,1,1,0,1,I
358,03-Jun-17,10:09:40,1,1,0,1,I
359,03-Jun-17,10:09:40,1,1,0,1,I
360,03-Jun-17,10:09:40,1,1,0,1,I
361,03-Jun-17,10:09:40,1,1,0,1,I
362,03-Jun-17,10:09:40,1,1,0,1,I
363,03-Jun-17,10:09:40,1,1,0,1,I
364,03-Jun-17,10:09:41,1,1,0,1,I
365,03-Jun-17,10:09:41,1,1,0,1,I
366,03-Jun-17,10:09:41,1,1,0,1,I
367,03-Jun-17,10:09:41,1,1,0,1,I
368,03-Jun-17,10:09:42,1,1,0,1,I
369,03-Jun-17,10:09:42,1,1,0,1,I
370,03-Jun-17,10:09:42,1,1,0,1,I
371,03-Jun-17,10:09:42,1,1,0,1,I
372,03-Jun-17,10:09:43,1,1,0,1,I
373,03-Jun-17,10:09:43,1,1,0,1,I
374,03-Jun-17,10:09:43,1,1,0,1,I
375,03-Jun-17,10:09:43,1,1,0,1,I
376,03-Jun-17,10:09:43,1,1,0,1,I
377,03-Jun-17,10:09:43,1,1,0,1,I
378,03-Jun-17,10:09:43,1,1,0,1,I
379,03-Jun-17,10:09:44,1,1,0,1,I
380,03-Jun-17,10:09:44,1,1,0,1,I
381,03-Jun-17,10:09:44,1,1,0,1,I
382,03-Jun-17,10:09:44,1,1,0,1,I
383,03-Jun-17,10:09:45,1,1,0,1,I
384,03-Jun-17,10:09:45,1,1,0,1,I
385,03-Jun-17,10:09:45,1,1,0,1,I
386,03-Jun-17,10:09:45,1,1,0,1,I
387,03-Jun-17,10:09:45,1,1,0,1,I
388,03-Jun-17,10:09:46,1,1,0,1,I
389,03-Jun-17,10:09:46,1,1,0,1,I
390,03-Jun-17,10:09:46,1,1,0,1,I
391,03-Jun-17,10:09:46,1,1,0,1,I
392,03-Jun-17,10:09:46,1,1,0,1,I
393,03-Jun-17,10:09:47,1,1,0,1,I
394,03-Jun-17,10:09:47,1,1,0,1,I
395,03-Jun-17,10:09:47,1,1,0,1,I
396,03-Jun-17,10:09:47,1,1,0,1,I
397,03-Jun-17,10:09:48,1,1,0,1,I
398,03-Jun-17,10:09:48,1,1,0,1,I
399,03-Jun-17,10:09:48,1,1,0,1,I
400,03-Jun-17,10:09:48,1,1,0,1,I
401,03-Jun-17,10:09:48,1,1,0,1,I
